word,count
 ,130
草,118
哈哈哈,100
哈哈哈哈,47
莱妮娅,43
谢谢,40
莱,30
老师,29
爽哥,29
啊啊啊,27
狗,25
全责,21
天海,19
好听,18
佬,14
笑,13
剑,13
鸭,13
麻,12
秦,12
黄浦江,12
噔,12
说,11
三位一体,10
秦爽天,10
黑暗,9
云要,9
米缸,9
水友,9
泰罗,9
死,8
喜欢,8
奎恩,8
放进,8
雅,8
耶,7
开幕,7
爽,7
站,7
沉进,7
太,7
♞,6
雷击,6
鸭子,6
懂,6
一体,6
对不上,6
蚌埠,6
住,6
win,6
神圣,6
爱,5
好好,5
小马,5
真的,5
韦天,5
秦爽,5
钢之魂,5
确实,5
哪来,5
说话,5
hhhh,5
小姐,5
味儿,5
第一个,4
难听,4
好家伙,4
翻,4
绝活,4
乳爽,4
指,4
骗,4
秦川,4
小秦,4
真,4
完,4
巫医,4
露脸,4
ywwuyi,4
指鸭为,4
沉,4
B,4
探头,4
睡,4
nldg,4
歌词,4
大意,4
レ,4
ロ,4
听,3
现场,3
破防,3
清澈,3
狗头,3
暗示,3
你好,3
卑鄙,3
位,3
体,3
b,3
