word,count
草,850
哈哈哈,413
 ,158
哈哈哈哈,145
笑,47
草草,45
麻,45
死,34
恶魔,28
可爱,25
贴,22
麦宝,19
茶,18
hso,14
救命,14
说,11
罗伊,10
kwii,10
你好,10
雷击,9
萨麦尔,9
jpg,9
好像,9
塔克,9
开幕,8
kksk,8
貂,8
真的,8
噢,8
50,8
结界,8
全麻,7
挺,7
耶,7
好听,7
笑声,7
啊啊啊,7
喜欢,7
强,7
三厨,7
万圣节,6
麦,6
邪恶,6
懂,6
里,6
学识,6
嗝,6
狂喜,6
嘶,5
好家伙,5
开屏,5
我麻,5
跑,5
救救,5
噗,5
谢谢,5
表情,5
确实,5
声音,5
太,5
太草,5
字幕,5
爱,5
想,5
话,5
带毒,5
老师,5
三点,5
赢,5
哥,4
罗宝,4
一股,4
王子,4
太怪,4
www,4
谔,4
揉,4
画,4
kwiiiii,4
xx,4
萨宝,4
小学,4
我悟,4
确信,4
h,4
 ,4
串,4
害怕,4
反弹,4
hhhhhhh,4
魅惑,4
拉,4
做,4
―,4
永远,4
拆散,4
噔,4
味道,3
对手,3
直播,3
