word,count
蛾子,9
扑棱,7
爱,6
gagako,6
♡,5
 ,4
好听,4
儿子,4
草,4
姐姐,3
太,3
好活,3
2333,2
真,2
￣,2
御姐,2
音好,2
耶,2
小姐,2
kksk,2
你好,2
入脑,2
papa,2
←,2
听,2
牛,2
逼,2
呜呜,2
全麻,2
贪心,1
cao,1
禁止,1
哥哥,1
令尊,1
吾辈,1
楷模,1
Hi,1
 ,1
o,1
▽,1
ブ,1
神乎其技,1
这御姐,1
音绝,1
choke,1
好涩,1
哈利波,1
特,1
混血,1
忘不掉,1
速速,1
击剑,1
假面,1
骑士,1
肚子,1
太涩,1
二胡,1
真不错,1
皮好,1
涩,1
gachi,1
开口,1
脆,1
视频,1
实物,1
不符,1
单推,1
师傅,1
别拉,1
翅膀,1
大学,1
初见,1
可爱,1
结婚,1
形态,1
吹,1
最爱御,1
姐音,1
爸爸,1
◡,1
好好,1
-.-,1
我超,1
好多,1
问号,1
言叶,1
之庭,1
助人为乐,1
唱,1
狗,1
声音,1
喜欢,1
嗨,1
十年,1
老粉,1
不请自来,1
崽,1
绝活,1
daisuki,1
姬会,1
