word,count
蛙,2071
 ,315
捏,107
☆,73
哈哈哈,64
草,62
坏,54
呜呜,53
好听,51
꧁,51
꧂,51
呱呱,50
晚上,50
耶,49
说,47
死,43
笑,43
￣,42
笨蛋,42
唱,40
吹,32
哈哈哈哈,30
可爱,28
没事,28
民,27
晚安,26
老师,25
听,25
唱歌,23
想,23
拉,23
麻麻,21
www,20
玩,20
有人,18
真的,17
喜欢,17
嘟嘟,17
x,17
直播,16
eki,16
e,15
今晚,15
确实,15
完,15
懂,15
对面,14
w,14
寄,14
宝,14
挺,14
自我介绍,14
牛蛙,13
游戏,13
吃,13
加油,13
爱,13
ww,12
▽,12
感觉,12
弹幕,12
∀,12
°,12
导播,12
✧,12
随机,11
点,11
更新,11
好蛙,11
｡,11
太,11
厉害,10
下次,10
蛙宝,10
支持,10
●,10
打卡,10
黑,10
联动,10
拉哥,10
声音,10
只能,10
手机,10
猫,10
收到,10
色纸,10
･,10
进早,10
DD,10
冲冲,9
发现,9
全责,9
记得,9
买,9
wegame,9
拿下,9
做,9
墨水,9
开,9
真,9
