word,count
哈哈哈,1105
 ,683
哈哈哈哈,492
草,268
夺笋,119
兔,108
死,94
准,94
兔兔,93
笑,75
可爱,73
桀哥,57
说,44
跳,38
打工,36
太,36
大象,31
喜欢,28
藏,28
闸,27
确实,26
总,26
不准,26
卡比,25
真,22
没想到,22
急,22
路易,21
这是,21
兔子,21
h,21
awsl,21
图,20
想,20
完,20
经典,20
下饭,20
前方,19
欧拉,19
笋,19
吃,18
高能,18
牛,18
现场,18
鬼,18
 ,18
玩,17
好听,17
好家伙,17
噢,17
思维,16
ddj,16
坏,15
kksk,15
领先,15
嬲,15
好像,15
声音,15
强,15
doge,15
い,15
真的,14
状态,14
开,14
孬,14
卡,14
笨比,14
杰哥,14
女人,13
开心,13
厉害,13
笑声,13
裂开,13
不行,12
bgm,12
听,12
操作,12
做,12
hhh,12
飞飞,12
hhhh,12
挺,12
理解,12
傻,12
年轻人,12
跑,11
马里奥,11
感觉,11
赢,11
妈妈,11
www,11
超级,11
b,11
2333,11
泪目,11
方式,11
弹幕,11
大木,11
bug,11
hhhhh,11
