word,count
啊啊啊,236
说,180
 ,158
好听,86
No,69
太,28
哈哈哈,21
こ,21
喜欢,20
爱,17
も,15
う,14
と,13
听,12
耶,12
牛,11
声音,11
の,11
で,11
厉害,10
跪,10
真的,10
Don,10
t,10
再来,9
亿遍,9
向前,9
い,9
ま,9
る,9
た,9
前方,8
中,8
太棒了,8
支持,8
吹,8
太阳,8
っ,8
ど,8
Cry,8
More,8
好棒,7
发现,7
弹幕,7
升起,7
地方,7
な,7
天涯海角,7
て,7
Slow,7
Down,7
上方,7
前行,7
哈哈哈哈,6
逼,6
唱,6
摆,6
开口,6
爆,6
两个,6
に,6
君,6
ら,6
れ,6
奔跑,6
は,6
可爱,5
音,5
高能,5
歌,5
感觉,5
宝藏,5
走,5
不火,5
系列,5
开头,5
艺术,5
三连,5
好好,5
太强,5
太绝,5
焦躁,5
天涯,5
り,5
开幕,4
循环,4
死,4
翻唱,4
点,4
666,4
awsl,4
结束,4
回家,4
专业,4
听见,4
唱腔,4
一遍,4
越,4
听到,4
太棒,4
