word,count
 ,835
好听,277
啊啊啊,103
草,100
听,83
童年,72
爱,67
NOX,65
哈哈哈,61
♪,61
好好,60
喜欢,57
♥,51
火钳,50
刘明,47
太,44
棒,44
哈哈哈哈,42
好棒,39
卧槽,33
嘟嘟,33
声音,32
呜呜,31
跪,29
开口,28
感觉,28
厉害,27
you,24
up,24
真,24
死,21
唔,21
I,21
支持,21
真的,21
原唱,21
Nox,21
赞,20
弹幕,20
Fla,20
the,19
牛,19
笑,18
it,18
耶,18
nox,18
前,17
这是,17
一遍,16
to,16
s,15
your,15
♡,15
蓝字,15
超,15
三连,15
首页,15
•,14
硬币,14
唱,14
鸡皮疙瘩,14
太强,13
翻唱,13
英语,13
说,13
末日,13
通知书,13
亿遍,13
姐姐,13
可爱,12
kksk,12
派,12
热舞,12
嗷嗷,12
开头,12
剑,12
好家伙,11
▽,11
高能,11
me,11
太棒了,11
my,11
不错,11
想,11
坷垃,11
发音,11
嗷,11
好强,11
再来,11
し,11
登龙,11
噢,11
www,10
in,10
好帅,10
前方,10
･,10
awsl,10
主,10
i,10
