word,count
 ,55
可爱,55
团子,43
草,42
傻,40
哈哈哈,25
猪猪,17
傻气,16
哈哈哈哈,14
豆,14
riri,13
爱,12
猫猫,12
太,11
晚上,10
awsl,10
猫,10
狐狸,9
好听,8
吃,8
大型,8
啊啊啊,7
阿巴,7
❓,7
团姐,6
姐姐,6
噢,6
胡,6
粮,6
声音,5
耳朵,5
团团,5
溢出,5
超勇,5
团,5
变态,5
卡哇伊,4
hhh,4
天才,4
味道,4
老婆,4
卡卡,4
感冒,4
超,4
死,4
口,4
太太,4
听,4
钢板,4
看不到,4
º,4
猫咪,4
噔,4
谢,3
礼物,3
单推,3
骂,3
姐,3
说,3
明明,3
确实,3
没事,3
想,3
你好,3
笨蛋,3
危,3
快乐,3
开幕,3
嗦,3
外露,3
害怕,3
喜欢,3
hhhhh,3
指,3
熟悉,3
哭,3
动,3
这是,3
笑,3
怂,3
2333,3
耶,3
震撼,3
i,3
不愧,3
渡劫,3
老虎,3
真实,3
傻傻,3
猪,3
长,2
嘶,2
▓,2
传统,2
震惊,2
放心,2
超傻,2
巧克力,2
敷,2
雷击,2
