word,count
青眼,691
白龙,687
 ,665
草,482
哈哈哈,193
确实,106
哈哈哈哈,85
说,79
耶,64
海猫,64
zun,63
两个,59
圣经,55
老婆,46
埃及,41
暴露,40
懂,38
tia,38
选择,38
女人,37
图穷匕见,35
龙,34
想,33
选,33
死,32
弹幕,31
肯定,30
投,30
笑,29
燃起,29
doge,28
融合,28
女朋友,28
诈骗,27
新,27
爱,26
3000,26
真,25
绘,25
目的,25
牛,24
贡,24
馋,24
法老,23
多拉,23
h,23
网络,22
 ,22
ohhhhhhhh,22
无敌,21
8700,21
少女,21
新型,20
yyds,20
万,20
太棒了,20
骂,19
太,19
越共,19
赫卡,18
真的,18
hso,18
比博人,18
ohhhhhhhhhhh,18
羽中,18
kksk,17
卡,17
我要,17
混沌,17
我选,17
攻击力,17
憨,17
可怕,17
号,16
好家伙,16
究极龙,16
蒜头,16
妈妈,16
扎克,16
伯格,16
rua,16
克,15
老师,15
兽,15
召唤,15
white,15
白毛,15
探头,15
可爱,14
钱,14
bgm,14
杨颜,14
游戏,14
yyky,14
开幕,14
果断,14
社长,14
狗,14
传燃,14
凯尔,14
