word,count
 ,1311
好听,362
啊啊啊,296
歌,252
失恋,246
な,171
い,162
て,156
　,141
の,138
听,137
た,131
里奈,122
っ,102
太,100
爱,92
に,92
鸡皮疙瘩,91
れ,89
は,78
だ,78
好好,72
し,71
を,70
弹幕,70
奶奶,67
あ,64
哈哈哈,64
る,63
く,63
で,62
真的,61
ら,61
う,61
喜欢,59
自心,59
と,58
跪,57
か,57
开口,54
も,52
哭,51
ま,51
が,49
耳机,48
false,48
り,47
イ,46
死,45
ん,43
棒,42
そ,39
亿遍,38
唢呐,38
す,37
君,36
け,36
ア,36
什,36
き,35
ー,35
炸塔,35
「,34
声音,34
CoSine,34
亲爱,33
一遍,32
好棒,31
说,31
呜呜,31
卧槽,31
250,30
I,30
高能,29
里,29
え,29
i,29
超,28
み,28
唱,28
转粉,28
200,28
再来,28
剪辑,28
te,27
中,26
高音,26
さ,26
开头,26
回来,26
路,26
听到,25
つ,25
こ,25
感觉,25
ン,25
re,25
吹,24
わ,24
ね,24
