word,count
草,2897
 ,1142
哈哈哈,607
宝,483
哈哈哈哈,290
臭臭,256
可爱,206
铃宝,160
30,159
www,133
说,118
太,113
确实,100
古守,99
屑,98
啊啊啊,97
懂,96
天使,89
笑,83
帕里,78
谢谢,77
骂,75
喜欢,70
噔,70
开幕,69
想,67
耶,67
吃,63
雷击,62
贴,59
小虎,58
死,57
真,57
铃,55
kksk,54
真的,54
火,53
销户,53
学,52
好人,52
盐,51
AA,51
老板,49
家,46
泪目,46
0g0,45
030,45
好家伙,44
这是,44
烤肉,44
草草,43
猫,43
怂,42
舔,41
朋友,41
wwww,40
保密,38
太屑,37
张学友,37
snp,36
nano,36
守子哥,36
震撼,36
哥,36
别骂,35
没事,35
好听,34
香香,34
听,33
DD,33
女校,33
冲击,33
离谱,32
小姐,32
吃醋,32
翻译,31
女儿,31
天才,31
迫害,31
dd,30
女朋友,30
哭,30
い,29
ww,28
里,27
w,27
幻想,27
白菜,26
kimo,26
表情,26
2333,25
倒,25
请,25
穿,25
wwwww,25
P,25
p,25
味道,25
不行,25
怂宝,25
