word,count
哈哈哈,26
 ,21
哈哈哈哈,16
大三元,16
玲子,14
对子,11
老头,10
幺,9
听,8
家,8
三元,8
痛失,8
九条,7
西风,7
混,6
一色,6
一张,6
这牌,6
西,6
自摸,6
流局,6
笑,5
♬,5
♫,5
♪,5
好家伙,5
暗杠,5
一向,5
开局,5
满贯,5
字,5
杠,5
总督,5
狗头,4
草,4
高能,4
做,4
国士,4
清,4
九万,4
这不流局,4
手里,4
说,4
运气,4
肥玲,4
￣,4
猫,3
危,3
前方,3
耶,3
喵,3
翻,3
doge,3
可惜,3
白板,3
做雀头,3
肯定,3
摸,3
神仙,3
断,3
九牌,3
死,3
真的,3
流满,3
暗刻,3
耳朵,2
口,2
胡,2
骂,2
指,2
一万,2
铃宝,2
好听,2
疯,2
快乐,2
vtb,2
石油,2
佬,2
孩子,2
卡,2
发财,2
好惨,2
对对胡,2
手,2
上家西,2
碰,2
十三,2
地狱,2
国士无双,2
张,2
暴毙,2
十三幺,2
胡了,2
条清,2
这不流,2
局役,2
离谱,2
七对,2
不对劲,2
两张,2
