word,count
 ,714
哈哈哈,572
草,549
哈哈哈哈,213
妮妮,187
守夜,136
可爱,85
妮,81
好家伙,78
笑,76
不行,70
开幕,61
雷击,60
说,56
现场,52
awsl,49
帕里,48
doge,46
猫,45
死,44
太,43
冰糖,41
咩,41
hso,40
想,39
吃,39
欧拉,39
耶,37
组长,37
屑,36
骂,35
不对劲,35
佬,34
老大哥,33
方式,33
绝育,33
危,33
泪目,32
抱歉,32
懂,31
离谱,31
真的,29
老板,29
热乎,29
处刑,25
变态,25
盒,25
迷迭,24
手,24
公开,22
哥哥,22
这是,21
分钟,21
脸红,21
香蕉,21
好像,20
真,20
我要,20
ﾟ,20
左边,20
确实,19
网站,19
玩,18
站,18
妈妈,18
老婆,18
哭,17
献祭,17
叔叔,17
牛奶,17
社死,16
东西,16
之词,16
爱,16
干什么,16
孩子,16
女,16
女儿,16
mo,16
完,15
saki,15
真实,15
啊啊啊,15
感觉,15
戳,15
憨,15
石油,15
爸爸,15
栗,15
游戏,14
虎狼,14
弹幕,14
猫猫,14
永远,14
塔,14
DD,14
桑,13
太草,13
越来越,13
刀客,13
