word,count
 ,717
草,606
哈哈哈,341
咕咕,167
◤,152
◢,152
哈哈哈哈,136
二维码,134
好听,92
FBI,69
吃,65
awsl,61
可爱,57
好家伙,51
鸽子,46
说,46
危,45
草草,42
变态,41
害怕,41
doge,38
耳机,38
想,37
雷击,37
外放,37
太,35
笑,35
开幕,34
真的,32
耶,32
死,31
憨,31
现场,30
骂,30
纹,27
真,26
正,26
桃子,25
不对劲,25
♂,25
the,25
扫,24
烤,23
hso,23
请,23
好活,22
爱,22
桌子,22
bgm,22
¿,22
咕,21
door,21
太草,20
声音,20
收藏,20
视频,20
open,19
妈妈,18
舔,18
走,18
这是,18
啊啊啊,18
离谱,18
懂,18
码,18
喜欢,17
好看,17
咕妈,17
hanser,17
完,16
好好,16
站,16
钱,16
手机,16
死亡,16
◣,16
◥,16
阿姨,16
▽,15
谢谢,15
腿,15
听,15
乳鸽,15
真香,15
警告,15
⊙,15
直播,14
w,14
感觉,14
狗头,14
身边,14
kksk,14
卧槽,14
扫码,14
放,14
社会性,14
天使,13
好像,13
干,13
先,13
