word,count
の,4399
nono,2854
 ,1915
い,932
°,641
可爱,547
草,536
￣,500
N,407
な,367
∀,352
し,331
か,322
晚上,311
ﾉ,310
て,304
で,299
www,297
た,294
す,287
谢谢,283
っ,275
ん,259
諾諾,242
は,236
う,227
る,223
に,221
よ,214
ま,201
▽,196
だ,191
说,187
お,175
が,167
想,164
も,164
ら,160
晚安,157
と,154
w,149
わ,149
耶,144
ｗ,144
こ,141
373,139
れ,138
吃,135
mua,129
き,120
り,119
を,119
あ,118
NONO,116
ー,109
さ,108
く,107
ゃ,105
wwww,104
直播,102
ち,98
そ,97
真的,96
太,95
イ,94
ね,91
好听,90
唱,90
喜欢,90
け,88
天使,84
み,84
做,83
ww,82
や,81
辛苦,78
ン,77
じ,77
结婚,76
狗子,75
ど,73
ば,72
哈哈哈,68
え,68
日本,67
つ,67
唱歌,66
点,66
懂,65
･,64
　,64
感觉,62
同传,61
ロ,60
ノ,59
听,57
诺诺,57
中文,56
suki,55
睡,55
