word,count
 ,73
草,35
哈哈哈,28
玩,15
阿伊,13
可爱,12
队友,12
死,12
光环,12
迷路,11
噔,10
喵,9
笑,8
爱,8
手枪,8
第一次,8
难度,7
陆战队,7
哈哈哈哈,7
死因,7
丢,7
传奇,6
awsl,6
真实,6
精英,6
233,6
一代,6
重力,5
锤,5
危,5
猎人,5
开,5
简单,5
感觉,5
跳,5
号,5
剑,5
枪法,5
ae,4
一看,4
错过,4
惊,4
游戏,4
没想到,4
鬼,4
halo,4
蓄力,4
痛击,4
子弹,4
士官长,4
还行,4
rua,4
枪,4
年,4
身上,4
强,3
鱼,3
想不到,3
跑,3
nya,3
水枪,3
开心,3
高,3
声音,3
啊啊啊,3
神,3
滑稽,3
喜欢,3
弹幕,3
吹,3
无限,3
哭,3
奢侈,3
咕噜,3
敌人,3
听,3
无敌,3
硬,3
电浆,3
真的,3
黑楼,3
剧情,3
想,3
这是,3
画质,3
伤害,3
高难度,3
空枪,3
确信,3
阿巴,3
秒,3
头,2
快乐,2
滴,2
强强,2
开车,2
屑,2
康,2
打死,2
恶魔,2
