word,count
 ,348
草,140
哈哈哈,77
哈哈哈哈,35
awsl,26
希姐,25
可爱,21
耶,17
爷,17
爱,16
笑,15
喜欢,14
骗,13
上当,13
好家伙,12
真,12
感觉,12
这口,12
开幕,11
太,11
懂,11
BGM,11
bgm,11
好看,10
水希,9
雷击,9
说,9
DD,9
跑,9
瞎,8
dd,8
真的,8
好像,8
迷迭,8
弹幕,8
吃,8
死,8
武器,8
前方,7
suki,7
想,7
确实,7
无声,7
好听,7
呜呜,7
鬼,7
希,6
戳,6
说话,6
封面,6
口,6
希尔,6
薇,6
燃起,6
谢谢,6
系,6
牛,6
逼,6
离谱,5
高能,5
滑稽,5
漂亮,5
眼神,5
草草,5
噗,5
现场,5
病娇,5
斩首,5
完,5
挺,5
傻,5
孩子,5
金曲,5
对面,5
放,5
www,5
关注,5
⍥,5
哭,4
还行,4
心脏,4
地方,4
高光,4
我来,4
￣,4
一生,4
眼镜,4
老婆,4
求,4
缓缓,4
帕里,4
桑,4
开,4
刀,4
猜,4
杀,4
潘婷,4
请,4
打出,4
✪,4
