word,count
 ,2242
哈哈哈,1631
草,924
哈哈哈哈,656
阿雨,296
头子,205
笑,167
危,159
惹不起,151
好家伙,148
DNA,139
弹幕,126
可爱,105
点,99
倾城,99
憨,92
佬,92
耶,87
说,85
求生欲,82
确实,80
噔,78
太,77
完,73
想,68
区别,61
AV170001,59
杀手,58
雨街,57
平时,55
啊啊啊,55
死,54
懂,54
真的,52
doge,52
awsl,51
好听,50
热,50
兵器,50
av170001,50
听,49
万,49
直播,48
爱,48
声音,48
学到,47
孩子,47
老板,47
奇怪,46
菠萝,46
喜欢,44
骂,43
感觉,41
♂,40
知识,40
米,39
傻,38
水叔,38
开心,37
喝,37
开幕,37
雷击,37
诶,37
里,36
前方,36
增加,36
听不见,35
真,35
动,35
石油,35
游戏,34
不愧,33
成功,33
破防,32
草草,32
闭嘴,32
奇妙,32
bgm,31
请,31
高能,31
认不清,31
得寸进尺,30
hhh,30
¿,30
jpg,30
妙屋,30
反杀,29
急,29
不自鱼,29
啤,29
错误,29
实在,28
玩,27
东西,27
发现,27
味儿,27
哭,27
中,27
器,27
女人,26
