word,count
哈哈哈,177
 ,129
哈哈哈哈,76
草,58
桃子,31
真实,31
一米,30
太,26
确实,21
钱,19
桃桃,18
死,17
笑,15
见不得人,14
doge,13
不用,12
得加,12
爱,11
点,11
说,10
开幕,10
雷击,10
厚,10
懂,9
四点,9
真,9
好家伙,8
骂,8
可爱,8
永远,8
hso,7
桃妈,7
睡觉,7
神,7
吃,6
父母,6
广东,6
狗,6
做,6
别骂,6
穿,6
坐,6
太晚,6
好听,6
ノ,6
✪,6
听,5
妈,5
感,5
走,5
桃爸,5
涩,5
妈妈,5
爷爷,5
睡,5
危,5
岁,5
好大,5
动,4
╥,4
代入,4
强,4
233,4
不远,4
发现,4
孩子,4
开心,4
舒服,4
直播,4
粤语,4
开,4
滑稽,4
毛,4
盒,4
恭喜,4
憨,4
女性,3
声音,3
晚上,3
味儿,3
我家,3
物理,3
低俗,3
我要,3
内味,3
经典,3
挺,3
年轻人,3
爸妈,3
听话,3
hhhh,3
兴奋,3
亲切,3
这是,3
棉袄,3
呆,3
那味,3
hhh,3
建议,3
亲生,3
