word,count
草,6681
 ,4382
哈哈哈,2974
哈哈哈哈,1464
lulu,898
血压,723
队友,596
可爱,586
阿姨,464
笑,409
经典,369
死,348
赢,347
说,347
吃,326
lu,326
泪目,304
懂,288
草草,286
超级,283
骂,275
炸,254
害怕,253
慈善,252
确实,252
离谱,248
太,244
啊啊啊,232
好家伙,223
kimo,223
拉满,213
真的,203
开幕,197
呜呜,195
中文,194
阿巴,184
debu,182
玩,182
发病,181
想,178
爱,178
日本,176
真,175
天才,166
哭,164
雷击,162
这牌,156
完,156
傻,151
kksk,150
地主,142
接受,138
急,135
喜欢,130
噔,128
这是,126
炸弹,125
破防,125
走,119
卧槽,118
女人,118
不对劲,117
对面,115
神魔,115
宝,113
る,112
狗,112
穿,110
点,109
大王,109
加倍,107
听,107
日语,107
顺子,106
屑,106
番茄,105
别骂,104
飞机,104
龙,104
牌,103
做,102
中国,102
斗地主,101
对线,101
老婆,100
hso,100
开心,99
太草,97
标准,97
谢谢,97
犯病,97
好听,96
辅助,95
妹,94
李在,94
单走,93
拆,92
い,91
钱,90
薄片,88
