word,count
草,194
 ,134
天使,108
妹妹,101
可爱,89
哥哥,65
兔子,62
回来,60
炸鸡,49
老婆,32
awsl,26
吃,25
哈哈哈哈,23
哈哈哈,23
谢谢,23
说,22
耶,21
天才,20
太,19
姐姐,18
啊啊啊,18
www,17
筷子,17
初次见面,16
中国,16
反悔,14
想,13
死,13
好久不见,13
不许,13
犹豫,12
笑,12
熟悉,11
nano,11
初见,11
打架,11
信,11
单推,10
兔兔,10
喜欢,10
doge,9
救,9
giegie,9
兔,9
桑,9
声音,9
掉,8
终于,8
可可,8
爱,8
抓,8
真的,8
确实,8
坏,8
僵尸,8
游泳,7
玩,7
肯德基,7
白毛,7
寿司,7
日本,7
有理有据,7
买,6
好像,6
泪目,6
ﾟ,6
DNA,6
还行,6
卡哇伊,6
suki,6
这是,6
熊猫,6
经典,6
发音,6
动,6
mua,6
厉害,6
假,5
hhh,5
水里,5
男,5
听,5
妹,5
2333,5
懂,5
o,5
哭,5
话,5
翅膀,5
sodayo,5
真,5
打钱,5
式,5
w,5
现场,5
cool,5
东西,5
叉,5
说得对,5
骂,5
