word,count
黑猫,47
伏见,27
老贼,27
共存亡,27
天良,26
̥,16
桑,14
丧,12
ssr,11
bgm,10
橡皮,8
街道,7
风,6
居住,6
喜欢,5
懒人,5
琉璃,4
走,4
老婆,4
说话,4
刻,4
转印,4
非洲,4
反刀,4
反刀流,4
听,3
说,3
殿下,3
刀,3
党,3
两个,3
黑貓,3
想,3
°,3
阿巴,3
 ,3
BGM,3
吨,3
现世,3
痛,3
失败,3
mmp,3
系列,2
日语,2
骑士,2
刀来,2
溜,2
进度条,2
好评,2
抱,2
年,2
怨念,2
騎士,2
團永遠,2
守護,2
太,2
作,2
100,2
亿,2
点点,2
不太,2
聪明,2
做作,2
自然,2
推,2
爱,2
哈哈哈,2
视频,2
弹幕,2
买,2
级,2
路过,2
农夫山泉,2
抽,2
洗章液,2
心情,2
完,2
前方,2
高能,2
召唤,2
鸟居,2
涂,2
抽卡,2
起床,2
铃声,2
只会,2
同款,2
洗甲水,2
没符,2
酸酸乳,2
美工刀,2
二十个,2
强行,2
发现,2
佛,2
说实话,1
挺,1
差点,1
少,1
舰长,1
