word,count
 ,124
哈哈哈,69
哈哈哈哈,28
kira,22
爱,20
亲爱,20
草,15
说,12
开幕,10
不对劲,9
加油,9
好家伙,9
雷击,9
听,8
妈咪,8
Kira,8
喜欢,8
啊啊啊,8
精神,8
害怕,8
声音,7
太,7
hso,7
开,7
完,7
♡,6
up,6
xswl,6
单推,6
可爱,6
噔,6
awsl,6
耳机,5
老婆,5
走,5
妈妈,5
字幕,5
离谱,5
想,5
方式,5
call,5
党,4
去世,4
i,4
真的,4
画面,4
玩,4
呜呜,4
姐姐,4
永远,4
军舰,4
不到,4
死,4
想要,4
每日,4
一溜,4
麻麻,4
好大,4
对不起,4
g,4
阴间,4
好痛,4
耶,3
好听,3
弹幕,3
老师,3
系列,3
东西,3
酱,3
始,3
唱,3
淦,3
耳朵,3
错,3
主,3
vup,3
姐,3
老大姐,3
大佬,3
大声,3
笑,3
初见,3
嘤,3
吃掉,3
做,3
快乐,3
事,3
多一点,3
一点,3
不住,3
抱歉,3
光波,3
我爱你,3
月,3
太大,3
找,3
大人,3
父亲,3
这是,3
舒服,3
