word,count
草,4811
 ,4323
律,535
哈哈哈,475
高,464
yyut,366
小姐,344
说,285
懂,254
hso,248
确实,225
哈哈哈哈,191
女,183
草草,175
太,169
帕里,166
真的,153
想,147
anti,143
高太尉,142
噔,135
可爱,133
不愧,124
开幕,120
雷击,117
群友,115
kksk,113
日本,109
真,109
笑,107
死,105
泪目,104
贴,100
发,99
直播,96
喜欢,96
啊啊啊,94
牙白,94
屑,92
做,92
阿律,91
悲,90
钱,89
站,87
YYUT,87
い,85
感觉,83
这是,81
中国,81
翻译,81
指,80
爱,79
女人,79
锤子,78
弹幕,75
声音,74
前女友,74
耶,72
月,71
请,67
www,66
冰糖,66
真实,66
あ,65
巫女,64
开,64
涩,64
糖,63
虾饺,63
吃,62
kimo,62
狂喜,62
挺,61
剪辑,59
男,59
骂,59
太草,57
sodayo,57
迷迭,56
里,56
鬼,56
确信,56
谢谢,56
家,56
危,55
b,54
不对劲,54
点,53
好像,53
害怕,52
debu,52
ん,52
离谱,51
即答,51
大姐,51
mea,50
设定,50
你好,49
P,49
p,49
