word,count
 ,190
哈哈哈,130
鸽鸽,82
草,52
鸽歌,43
哈哈哈哈,42
耶,32
鸽子,30
欸,24
好听,22
笑,19
危,19
好家伙,15
说,13
阿巴,13
憨,11
字幕,9
大鸽,9
可爱,9
想,9
爱,9
永远,8
喜欢,8
中,8
doge,8
睡着,8
开幕,8
雷击,8
等待,8
君,7
xswl,7
现实,7
不愧,7
完,6
真的,6
声音,6
雪狐,6
好好,6
不想,6
弹幕,6
死,6
幻想,6
没爹,6
嘚,6
独自一人,5
空中,5
小时,5
呜呜,5
跑,5
柚子,5
BGM,5
hhh,5
猪,5
包括,5
无中,5
生友,5
走,5
憨鸽,5
答案,5
蓝色,4
施工,4
好像,4
漂浮,4
起舞,4
讨厌,4
做,4
离谱,4
先,4
跳,4
前来,4
开,4
噔,4
太,4
不好,4
守护,4
笑容,4
此曲,4
浓厚,4
梦,4
之外,4
Q,4
挺,4
拜把子,4
醉,4
嗷,4
干杯,4
疯狂,4
暗示,4
兴奋,4
歪,4
天才,4
搜,4
排除,4
正确,4
www,3
噗,3
海狸,3
完毕,3
跳舞,3
低着头,3
