word,count
 ,665
喵,146
www,140
哈哈哈,97
猫猫,66
哈哈哈哈,65
草,64
黎耶,62
￣,62
∠,57
玩,52
说,48
吸血,46
久远,46
姬,43
老板,38
晚上,37
w,37
想,36
做,36
hhh,30
死,30
耶,29
233,27
猫,26
大气,25
游戏,24
老婆,23
睡,22
▽,22
〜,22
抽,21
yio,21
健身,21
喜欢,21
°,21
椰子,20
晚安,20
可爱,20
环,20
点,19
确实,19
月,19
笑,19
呜呜,18
好家伙,18
直播间,17
懂,17
hhhh,17
挺,16
纸,16
壳子,16
☆,16
跳,15
感觉,15
视频,15
太,14
蛋,14
急,14
听,14
hh,14
卡片,14
鬼,14
没事,13
夏天,13
坏,13
发,13
捡,13
绿,13
吃,13
走,13
厉害,12
开,12
真的,12
好像,12
快乐,12
∀,12
･,12
喷,12
Rie,12
捏,11
那种,11
△,11
S,11
噗,10
骂,10
这是,10
不行,10
建议,10
回来,10
伊伊,10
贴,10
啊啊啊,10
¬,10
推,10
打卡,10
李艳水,10
一地,10
3622,10
∪,10
