word,count
ア,4514
 ,2974
リ,2291
い,1168
草,1069
￣,1009
亚里亚,829
aria,619
加油,588
°,574
す,525
の,524
は,518
で,502
ccm,455
▽,450
な,410
www,408
晚上,407
て,392
か,379
说,352
し,349
っ,346
辛苦,343
る,336
ん,324
∀,320
谢谢,318
う,316
晚安,312
お,293
ﾉ,285
た,274
ま,274
に,270
可爱,266
买,259
wwww,253
同传,248
が,242
と,240
电脑,239
こ,225
直播,224
よ,224
w,218
も,218
老板,200
耶,198
ね,197
吃,196
早上好,192
だ,188
想,187
大气,187
哈哈哈,184
wwwww,177
ら,177
れ,176
ｗ,176
ok,171
真的,167
感觉,167
ー,167
3090,165
点,164
黑猫,162
关注,156
ww,154
そ,150
CCM,150
佬,149
を,149
あ,148
大丈夫,145
き,145
⌒,143
り,142
＼,140
日本,139
･,138
中文,138
好好,136
く,134
bw,134
太,133
休息,129
理解,129
ン,125
ち,123
猫,119
BW,118
好像,116
み,115
∠,114
厉害,112
确实,109
〜,108
中国,106
