word,count
♛,28
阿铃,21
支持,20
铃铃,15
好听,9
耶,6
 ,6
可爱,6
草,5
蚌精,4
吃,3
想,3
泪目,3
bgm,2
贴,2
公主,2
克,2
总,2
好家伙,2
D,2
关注,2
岁,2
唱歌,2
初见,2
单推,2
求三连,2
牛,2
我来,2
好活,2
啧啧,2
⏝,2
一遍,2
掐,2
咩,2
秒,2
啵,2
开口,1
跪,1
替人,1
尴尬,1
毛病,1
wwwwwwwwwwwww,1
haha,1
早上好,1
惊,1
我要,1
录制,1
压制,1
音,1
失真,1
简单,1
懒,1
宠物,1
指,1
应急,1
食品,1
你好,1
明示,1
三连,1
2000,1
孩子,1
jpg,1
两千,1
小姑娘,1
珍珠,1
精,1
好看,1
铃铃真,1
声音,1
awsl,1
很萌,1
点,1
红烧,1
捏,1
膜,1
红红火火,1
恍恍惚惚,1
suki,1
二刷,1
耳朵,1
怀孕,1
好棒,1
龙,1
不愧,1
阿铃爱,1
太棒了,1
冲冲,1
龙宝,1
厉害,1
买,1
钱,1
哈哈哈,1
tm,1
谢谢,1
有种,1
幸福,1
听,1
玲玲,1
很棒,1
火钳,1
