word,count
 ,17
哈哈哈哈,7
哈哈哈,6
上头,6
作业,6
太,5
可爱,5
写,5
显卡,4
打击,4
感觉,4
遭受,3
好看,3
进度条,3
女人,3
穿着,3
衣服,3
完,3
坷垃,3
yyds,2
虎狼,2
憨,2
阿秋,2
卡哇伊,2
机智,2
不愧,2
确实,2
气急败坏,2
枳,2
笑,2
肌肉,2
金轮,2
嫁接,2
离谱,2
马,2
实在,2
12,2
点,2
撕,2
草,2
地球,2
找金,2
爱,2
大声,2
急,2
危,1
奇妙,1
形容,1
持续,1
警告,1
天堂,1
救,1
侦测,1
途,1
弹幕,1
扣,1
龙魂,1
2333333,1
联合,1
刚刚,1
念芋,1
害怕,1
大嘘,1
之词,1
zc,1
秋凛子,1
haruka,1
发病,1
这是,1
白凛子,1
好色,1
dd,1
豹,1
铁拳,1
阿秋草,1
漂酿,1
好康,1
老婆,1
实物,1
为准,1
平,1
自欺欺人,1
doge,1
挺,1
笨,1
念,1
半天,1
搞,1
明白,1
死,1
小孩子,1
会上,1
开口,1
两个,1
杀招,1
林北,1
巨龙,1
撞击,1
高之拳,1
看过,1
