word,count
 ,283
哈哈哈,225
草,109
慈善家,87
哈哈哈哈,65
可爱,52
awsl,46
啊啊啊,43
混入,33
笑,30
tql,26
艾里,23
无偿,23
死,22
音,21
太,21
发生,21
完,20
魔法,20
说,17
好看,17
天生,17
慈善,17
hso,16
卧槽,15
气泡,15
草草,14
好强,13
做,13
我画,13
呜呜,12
弹幕,12
喜欢,12
画,12
bgm,12
这是,12
想,11
好好,11
听,11
好像,11
精灵,11
骂,11
声音,10
好好看,10
老师,10
真的,10
太强,10
爱,10
脸红,10
好帅,9
哦哦哦,9
woc,9
大佬,9
up,9
kksk,9
i,9
太美,9
the,9
好家伙,8
牛,8
厉害,8
火钳,8
刘明,8
wsl,8
真实,8
吃,8
I,8
淦,7
强,7
www,7
里,7
哭,7
跪,7
薇,7
诶,6
好听,6
●,6
男孩子,6
艾莉,6
收藏,6
妈妈,6
感觉,6
开幕,6
狂喜,6
疯,6
茶宝,6
细节,6
超级,6
抽,6
300,6
你好,5
声线,5
新,5
老婆,5
说话,5
好棒,5
好色,5
学到,5
卡密,5
耶,5
