word,count
哈哈哈,105
好听,50
 ,48
kk,35
啊啊啊,32
哈哈哈哈,28
KK,17
可爱,17
i,13
草,10
太,9
kksk,8
2333,8
妈妈,8
awsl,8
23333,8
现场,7
笑,7
死,7
听,7
牛,7
鸟,7
Kiriko,7
吼吼,7
厉害,6
甜,6
游戏,6
真的,6
666,6
咩,5
玩,5
逼,5
惨,5
喜欢,5
记者,5
修罗场,5
C,5
233333,4
酱,4
爱,4
✪,4
快乐,4
39,4
鸟妈,4
我要,4
真,4
贴,4
声音,4
好看,4
好像,4
厨房,3
玩家,3
2333333,3
强,3
弹幕,3
下饭,3
噢,3
6666,3
恐怖,3
疯狂,3
call,3
发,3
真实,3
▽,3
少,3
啧,3
绝活,3
直播,3
前方,3
c,3
好棒,3
摸鱼,3
心人,3
棍,3
kiriko,3
感觉,2
噗,2
k,2
水深火热,2
手柄,2
交流,2
●,2
早,2
懒音,2
好开心,2
按错,2
害怕,2
doge,2
生化危机,2
疯,2
满场,2
起飞,2
还好,2
太强,2
66666666,2
bgm,2
警告,2
wow,2
睡觉,2
hhhhhhhh,2
