word,count
可爱,222
草,144
✨,119
橘猫,109
 ,83
Milky,79
milky,65
猫,57
www,54
⭐,53
哈哈哈,50
awsl,45
猫猫,38
太,33
橘,32
suki,32
爱,32
耶,31
哈哈哈哈,27
kksk,26
啊啊啊,25
超,20
好听,19
い,18
笑,18
加油,17
wwww,17
啾,16
mua,16
wwwwww,15
小橘,14
喜欢,13
谢谢,12
wwwww,12
汉服,12
真,11
死,11
kawaii,11
哭,11
草草,11
贴,10
我爱你,9
说,9
抱,9
开心,8
强,8
あ,8
泪目,8
nya,8
高能,8
bgm,7
hso,7
好吃,7
感觉,7
2333,7
想,7
前方,7
lsp,7
永远,7
旗袍,7
の,6
SUKI,6
听,6
剪辑,6
喵,6
老婆,6
走,6
耳朵,6
开幕,6
撒,6
细数,6
罪恶,6
っ,6
と,6
天使,6
字,6
脸红,6
BGM,5
还行,5
我来,5
好气,5
猫叫,5
前,5
摸摸,5
空屏,5
厉害,5
ダ,5
メ,5
游戏,5
写,5
夸奖,5
AWSL,5
H,5
No,5
も,5
做,4
お,4
さ,4
晨哥,4
ﾟ,4
