word,count
mini,155
 ,67
泪目,61
草,59
谢拉,43
呜呜,37
哈哈哈,31
破防,23
可爱,22
好听,20
重伤,20
倒地,20
哭,19
Mini,19
哈哈哈哈,18
♪,18
太,15
好家伙,14
尤特,14
结衣,14
真实,13
笑,12
yui,11
DD,10
现场,9
单推,9
说,8
✿,8
羊驼,8
suki,7
耶,7
爱,7
真,7
绷,7
不住,7
嗷,7
别刀,7
回来,7
骂,6
牌子,6
听,6
高能,6
傻,6
谢,6
QAQ,6
芜湖,6
dd,6
⎛,6
⎝,6
⏝,6
眠,6
血压,5
死,5
处刑,5
惨,5
点,5
爪,5
关注,5
＼,5
恭喜,5
转生,5
Yui,5
爱夏,5
233333,4
hso,4
好活,4
初见,4
太草,4
唱,4
前方,4
awsl,4
开幕,4
雷击,4
危,4
汀,4
吼,4
真的,4
pph,4
宝,4
想,3
歌词,3
厉害,3
海豹,3
弹幕,3
拉满,3
踩点,3
....,3
裂开,3
暴露,3
hhhh,3
新,3
确实,3
舰长,3
捏,3
加油,3
V,3
卑微,3
喵,3
开头,3
声音,3
