word,count
草,29
园长,24
哈哈哈,23
 ,19
笑,11
好听,8
可爱,8
耶,6
提督,5
手,4
泪目,4
好家伙,4
初见,4
单推,4
开心,4
砧板,4
说,3
死,3
哈哈哈哈,3
羞耻,3
草薙,3
D,3
想,2
棒,2
提前,2
园,2
长,2
wwww,2
萤儿,2
提,2
ohhhhhhhhhhhhhhh,2
探头,2
厉害,2
谢谢,2
烟火,2
ing,2
配,2
噔,2
www,2
拨弦,2
身体,2
mugen,2
诶,2
听,2
好棒,2
这是,2
歌迷,2
之拳,2
ಥ,2
防水,2
求,2
憨,2
B,2
果断,2
弹幕,1
奇特,1
泳姿,1
猜,1
前爪,1
群,1
前手,1
这段,1
女人,1
唱歌,1
男人,1
wwwwww,1
干什么,1
停下来,1
OHHHHHHHHHHHHHHHHHHHHHHHH,1
全是,1
武器,1
咳血,1
黑魔,1
好运来,1
口,1
胡,1
很快,1
地鼠,1
型,1
发生,1
肾,1
聪明,1
聪,1
明,1
离谱,1
醒醒,1
谢谢你们,1
烤肉,1
man,1
强大,1
后援,1
团队,1
听到,1
音乐,1
游戏,1
印象,1
好看,1
人善拉中,1
bushi,1
单挑,1
