word,count
哈哈哈,1089
哈哈哈哈,472
 ,321
可爱,121
灵魂,110
笑,107
666,101
下次,96
哭,91
画手,72
太,68
爱,52
害怕,52
死,51
啊啊啊,50
投币,46
up,46
霸刀,40
6666,38
制作,38
山庄,36
你币,35
武林,35
之巅,35
弹幕,33
重回,31
终,30
666666,29
硬核,28
举报,28
真实,28
听,26
唱,24
硬币,24
6666666,23
这是,22
66666,22
主,22
真,22
币,22
好听,21
真的,21
画风,21
厉害,20
嫖,20
想,19
特效,19
三连,18
卧槽,18
高能,18
牛,17
奶花,17
UP,17
感觉,17
111,17
画,16
说,16
前方,16
沙雕,16
花花,16
变太,16
挺,15
火钳,15
刘明,15
猪,15
恍恍惚惚,15
跳绳,15
把币,15
逼,14
开头,14
牛批,14
我币,14
下山,13
字,13
优秀,13
红红火火,13
█,13
做,13
完,13
草,13
66666666,13
敬,13
奶毒,13
画师,12
谢谢,12
先,12
投,12
不错,12
奶,12
内味,12
pv,11
警告,11
hhhhh,11
好看,11
丐帮,11
23333,11
不愧,11
憨,11
可莉,11
记下,11
