word,count
 ,397
哈哈哈,387
猫诺,209
猫,148
哈哈哈哈,133
游戏,109
诺,100
可爱,92
死,81
玩,70
笑,70
太,57
感觉,51
boss,49
说,49
空洞,44
骑士,41
这是,40
强压,38
想,37
真,35
草,35
听,35
强,34
好家伙,34
好像,32
爱,32
老婆,32
猫猫,31
吃,31
喜欢,30
真的,30
喵,30
热乎,28
doge,28
耶,27
做,27
跳,24
走,24
前方,24
up,22
厉害,22
伤害,22
高能,22
啊啊啊,21
弹幕,21
里,21
花蛋,20
分钟,20
主角,20
完,19
熟练,19
23333,19
手,19
不行,18
模型,18
离谱,18
无敌,18
撒,18
时间,18
卡,18
说话,17
明白,17
挺,17
好活,17
惨叫,17
声音,17
双刀,17
蔚蓝,17
劈,16
奥日,16
只能,16
直播,16
视频,16
血压,16
杀,16
确实,16
现场,16
阴间,16
姿势,15
难,15
没事,15
经典,15
好听,15
女人,15
武器,15
僵尸,15
菜,15
2333,15
简单,15
不好,14
女,14
技能,14
反,14
跑,14
莉莉,14
憨,14
高,14
好棒,14
诶,13
