word,count
 ,6292
点歌,1462
冷冷,1453
说,1175
晚安,1132
吃,1032
￣,935
草,882
确实,864
玩,811
想,794
早,731
晚上,656
冷子,622
睡,613
哥,608
点,539
残影,510
捏,501
哈哈哈,472
游戏,434
早早,411
妈咪,409
真的,405
买,396
感觉,391
好家伙,375
喜欢,371
睡觉,370
完,370
听,323
太,319
做,302
呜呜,293
死,285
XD,272
好像,270
赠送,267
懂,263
▽,263
感谢,262
阿巴,256
晚好,254
谢谢,252
灰常,247
挺,246
东西,245
♡,245
走,244
笑,231
找,227
°,227
明天,219
心,215
刚刚,213
冷宝,212
上班,211
直播,210
哈哈哈哈,208
没事,205
饿,203
回来,203
冷,203
里,199
真,199
月,196
小心,192
溜,189
时间,188
小时,188
∠,184
直播间,181
住,181
噗,181
不行,180
〜,179
牛,177
搞,175
开,173
咕噜噜,170
话,164
抱抱,163
歌,162
钱,162
老板,160
发现,160
朋友,160
拜拜,158
喵,158
手机,157
诶,151
牛蛙,151
我要,150
噢,150
行,147
一点,145
号,143
∀,143
电脑,141
黑,138
