word,count
 ,1181
草,1062
哈哈哈,821
诶,372
哈哈哈哈,354
海子,312
ybb,287
可爱,273
憨,268
姐,227
笑,163
太,149
草草,137
鲨鱼,125
七海,121
欸,107
死,96
耶,85
说,83
好家伙,79
真的,76
电脑,76
想,70
哭,70
漏网之鱼,70
吃,69
岁,67
确实,63
鲨,62
义务教育,58
真,55
卧槽,54
杨姐,52
罕见,51
懂,51
喜欢,51
感觉,50
谢谢,45
汤,45
doge,43
好听,41
里,41
啊啊啊,39
完,38
换,37
经典,36
20,36
武松,36
找,35
骗,35
做,34
挺,34
东西,34
任天堂,34
游戏,33
爱,33
对不起,33
傻,32
飞飞,32
这是,31
害怕,30
明白,30
好像,30
买,30
2333,29
鸡,29
hso,28
电源,28
可怜,28
师傅,28
捏,27
直播,27
听,27
主板,27
离谱,26
玩,25
朋友,25
还行,25
报警,25
辣椒,25
抱抱,24
九年,24
北京,24
心疼,23
日语,23
不愧,23
50,23
固态,23
高中生,23
好看,22
不行,22
帮,22
手,22
中,22
看过,22
点,22
走,22
张,22
开,21
跳,21
