word,count
草,915
 ,565
哈哈哈,194
光一,120
中,99
哈哈哈哈,90
单光,84
真的,67
一果,64
说,61
麻,57
死,45
果子,42
确实,40
哥,36
太,35
谢谢,33
笑,32
zdgy,31
懂,27
光一哥,27
喜欢,23
水友们,23
岁,23
爱,22
中单,22
强,22
水友,21
吃,21
杀,20
惹,19
经典,19
光一果,19
妹妹,19
绝活,19
hso,18
想,18
贴,18
草草,18
开幕,18
游戏,17
弹幕,17
bkb,17
真,17
沉默,17
玩,16
这是,16
蝙蝠,16
挺,16
拉,15
骑士,15
高,15
感觉,15
真实,15
光光,15
行,14
拱火,14
老爹,14
里,13
不愧,13
完,13
刀,13
傻,13
赢,13
帅,13
直播,13
dota,13
还行,13
操作,13
bgm,13
gyg,13
老师,12
英雄,12
话,12
骂,12
可爱,12
男人,12
啊啊啊,12
雷击,12
狗,12
不行,12
情商,11
指,11
星沙,11
好好,11
惨,11
全麻,11
裂开,11
好听,11
前辈,10
七海,10
跳,10
哭,10
鬼,10
简单,10
正人君子,10
听,10
听到,10
吐,10
点,10
