word,count
 ,815
乌拉,506
哈哈哈,199
草,186
拉,183
awsl,116
钢板,80
哈哈哈哈,73
说,64
可爱,64
噔,58
死,57
这是,51
23333,44
声音,44
弹药箱,43
危,42
游戏,42
玩,40
2333,37
杀,35
感觉,33
里,33
hso,32
卧槽,32
帝国,32
真的,31
回收,30
233,29
想,29
吃,29
太,27
队友,27
完,26
开头,25
笑,25
装甲,25
真,24
喜欢,24
弹幕,24
做,23
下次,23
棒,23
毛子,23
枪,22
肚皮,22
掉,22
DD,22
日常,22
啊啊啊,21
233333,21
器,21
战地,21
开,21
爱,21
好听,21
还行,21
滑稽,21
耶,21
恶鬼,21
奇兵,21
好像,20
中,20
行,20
bgm,20
快乐,20
开幕,19
变声,19
走,19
点,19
敌人,19
忠诚,19
拍,19
rua,19
烟中,19
僵尸,18
强,18
2333333,18
doge,17
好家伙,17
听,17
泪目,17
跑,17
美国,17
现场,16
没事,16
说话,16
黑,16
奇观,16
嘤,15
男团,15
女人,15
高,15
伤害,15
希望,15
兄弟,15
战,15
头,15
鬼,15
结束,15
