word,count
草,1038
 ,523
oto,168
哈哈哈,135
哈哈哈哈,82
太,57
唱,54
开幕,48
真的,47
确实,47
money,44
雷击,44
说,41
龙,37
耶,37
死,37
笑,36
好听,36
可爱,35
谢谢,34
任天堂,34
强,31
天天,30
日本,30
繁体,30
酱,29
义务教育,29
www,28
字幕,28
哭,27
繁体字,27
里,26
这是,24
听,24
高,23
泪目,23
老师,23
想,22
汉字,22
厉害,22
感觉,21
火,21
懂,21
OTO,20
真,19
喜欢,19
穿,18
日语,18
首歌,17
kksk,17
中文,17
中国,17
hso,17
草草,17
玩,17
青藏高原,17
可怕,16
钱,16
好家伙,16
屑,16
爱,16
古守,16
打钱,16
遗憾,15
要来,15
wwww,15
嗓子,15
歌,15
老龙,15
越来越,15
小心,15
小姐,14
噔,14
弹幕,14
全,14
お,14
更好,14
事,13
旗袍,13
做,13
悲,13
好像,13
い,13
孩子,13
标准,13
妈妈,13
jpg,13
太草,13
吃,13
结婚,13
教,13
音乐,13
挺,12
完,12
呜呜,12
视频,12
帕里,12
难,12
狂喜,12
学,12
