word,count
草,1627
哈哈哈,849
 ,748
哈哈哈哈,380
可爱,307
紫,247
老师,223
紫酱,149
笑,106
好家伙,99
死,87
太,79
爱,75
厉害,68
阿紫,66
说,64
真的,63
中国,62
单推,58
恭喜,58
DD,57
太草,57
关注,55
断气,55
中文,50
草草,49
て,47
离谱,47
老板,47
日本,46
好活,46
啊啊啊,45
太强,45
www,44
kksk,43
上海,43
确实,42
强,41
い,40
2333,40
喜欢,40
好听,40
很快,39
推,39
真,37
挺,37
awsl,35
耶,34
天才,34
日语,32
事,32
23333,32
百事,32
结婚,32
弹幕,31
标准,31
大爷,29
还行,29
懂,28
阿巴,28
啪,28
发生,27
dd,27
这是,27
声音,27
盖亚,27
初见,27
警官,27
泪目,26
卧槽,26
想,26
新年快乐,26
D,25
合适,25
做,24
hso,24
请,24
好像,24
姐姐,24
吃,23
感觉,23
鬼畜,23
狂喜,22
内味,22
经典,22
は,21
DNA,21
听,21
玩,21
动,21
川岛,21
夸,21
喝,20
学,20
行,19
不错,19
钱,19
朋友,19
党,19
老婆,19
