word,count
 ,244
草,82
awsl,69
哈哈哈,61
玉鸾,53
可爱,48
弹幕,27
啾,24
肥,22
啊啊啊,20
妈,20
哈哈哈哈,19
爱,19
吃,19
鸾,18
太,17
炼炼,15
小玉鸾,14
i,12
开幕,11
雷击,10
喜欢,9
好看,9
腿,9
23333,8
干嘛,8
撩,8
回来,8
阿伟,8
播放,8
牛,8
真,7
手,7
雾间,7
s,7
the,7
口袋,6
高能,6
疯狂,6
不错,6
头发,6
炼,6
钢板,6
穿模,6
完全一致,6
好听,6
眼神,6
说,6
大橘,6
直播,6
I,6
Christmas,6
离谱,5
走,5
笑,5
热乎,5
完,5
害怕,5
年,5
前来,5
感觉,5
233,5
死,5
危,5
粽子,5
谢谢,5
天使,5
噗,5
帽子,5
卧槽,5
to,5
666,4
口,4
听,4
孩子,4
中,4
20,4
月,4
31,4
日,4
哭泣,4
永远,4
支持,4
好康,4
承包,4
hso,4
干,4
饿,4
现场,4
做,4
想,4
长,4
条,4
喝,4
真的,4
飞,4
忙,4
厉害,4
发,4
掉,4
