word,count
 ,54
草,14
可爱,8
耶,6
哈哈哈哈,6
鼠鼠,6
哭,6
swipe,6
阿巴,4
爱,4
哈哈哈,4
ding,4
dong,4
干脆,4
hso,3
doge,3
卡哇伊,3
喜欢,3
鼠,2
你好,2
泪目,2
蚌埠,2
住,2
超管,2
警告,2
脸,2
这是,2
口水,2
口,2
胡,2
离谱,2
ko,2
片哥,2
脚气,2
现场,2
听,2
mo,2
好看,2
看过,2
懂,2
低声细语,2
受够了,2
tap,2
永远,2
发现,2
tick,2
tack,2
条线,2
切成,2
段,2
消失掉,2
算了,2
报告,2
尾巴,2
一眼,2
想,2
QAQ,2
加油,2
包好,1
甜,1
短,1
ki,1
太惨,1
下次,1
蚊子,1
咬,1
安产,1
型,1
危,1
一口,1
吟唱,1
屁股,1
好大,1
这不比,1
羊大,1
眼睛,1
向上,1
灵性,1
肩,1
跨,1
外套,1
脱,1
ww,1
斯哈,1
...........,1
多来点,1
估计,1
两,1
bgm,1
噗,1
混沌,1
歌姬,1
饭粒,1
试图用,1
屁底,1
唱,1
粤语,1
评论,1
区,1
king,1
