word,count
哈哈哈,102
 ,30
哈哈哈哈,25
啊啊啊,23
草,12
好家伙,9
离谱,6
飞飞,6
耶,5
开幕,5
雷击,5
急,4
听,4
死,4
呱唧,4
现场,3
笑,3
哼哼,3
药,3
直播,3
严谨,3
好活,2
疯,2
玩,2
不愧,2
玩游戏,2
哒,2
虎狼,2
之词,2
手指,2
可爱,2
kksk,2
好长,2
斯,2
哈斯,2
撒花,2
hhhhhhhhhhhhhhhhh,2
动,2
画面,2
拉,2
家庭,2
女人,2
害怕,2
钉,2
兴奋,2
阿巴,2
太顶,2
别念,2
热乎,2
药药,2
b,2
太,2
奇怪,2
傻,2
牛批,2
获奖,2
感言,2
买,2
爱,2
新世界,2
一种,2
植物,2
麻,2
过分,2
屑,2
墓碑,2
谢谢,2
注入,2
灵魂,2
毕业,1
来来来,1
吃席,1
绝绝子,1
求,1
姐姐,1
征服,1
左边,1
提示,1
有人,1
送,1
成就,1
守护,1
停下来,1
被动,1
触发,1
燃起,1
兄弟,1
痛苦,1
面具,1
虚拟,1
人物,1
神志不清,1
hhhhhhh,1
管教,1
天空,1
蔚蓝色,1
窗外,1
千纸鹤,1
hhhhh,1
挖耳朵,1
