word,count
哈哈哈,3052
 ,2639
哈哈哈哈,1310
草,846
万子姐,750
周姐,479
害怕,334
厉害,327
急,282
说,257
笑,254
一模一样,239
好家伙,233
死,225
蟑螂,216
别念,210
现场,203
超管,203
兄弟,185
周淑怡,169
裂开,149
师傅,146
开幕,133
啊啊啊,130
雷击,130
虚拟,129
取关,128
doge,125
吃,125
伊万,122
分钟,122
卧槽,120
确实,120
鬼,119
说话,111
姐,110
热乎,108
yue,104
草草,102
穿模,102
搓澡,100
真,97
想,97
¿,95
真的,93
可爱,93
这是,90
吐,90
关注,88
太,86
喜欢,83
完全一致,80
爱,79
声音,76
走,76
恶心,74
离谱,73
搁,72
须,70
女人,70
搓,69
腿,67
感觉,66
跑,65
反冲,63
万子,62
懂,62
片哥,62
完,60
区,60
猩猩,59
中之人,58
好活,58
弹幕,55
般配,55
斗士,55
张嘴,54
嘴,54
万姐,53
娘们,53
脸上,53
击剑,53
好像,52
骂,52
套娃,51
方式,50
男人,50
砸,50
暴露,49
长,49
二次元,49
挺,48
哥,48
吹,48
左边,47
女,47
不愧,46
蚊子,46
里,45
东西,45
