word,count
 ,677
草,212
哈哈哈,157
危危,140
危,126
毛毛,126
孩子,77
说,53
哈哈哈哈,53
必井,48
真的,46
玩,45
想,43
死,41
恭喜,40
对不起,38
对面,36
做,34
吃,32
你春田,31
泪目,30
听不见,30
毛,29
LGD,29
大哥,28
2333,28
fy,28
熊,27
船长,27
笑,26
战胜,26
感觉,25
lgd,25
优衣,24
两个,24
皇,24
致死量,24
玩具,24
熊子,23
太,23
走,22
这波,22
可爱,22
bgm,21
前方,21
查理斯,21
慌,21
会长,20
迫害,20
这是,20
蓝毛,20
真,19
经济,19
奇迹,19
高能,18
啊啊啊,18
逼,18
分钟,18
王,18
无敌,18
炼金,18
高富帅,18
手,18
FY,18
maybe,18
233,18
小鱼,18
还行,17
警告,17
井田,17
关键,17
哥,17
强,17
卧槽,16
斧,16
行,16
手办,16
月饼,16
一遍,15
春田,15
杀,15
不好,15
23333,15
doom,15
十三,15
爷,15
拉比,15
斧王,15
98,15
亿,15
梦,14
110,14
蓝,14
刀,14
飞机,14
死亡,14
小精灵,14
may,14
太太,14
重申,14
