word,count
哈哈哈,11949
哈哈哈哈,5149
 ,1839
笑,845
兰兰,729
死,570
可爱,537
现场,523
啊啊啊,499
声音,400
可樱,368
太,314
听,306
爱,303
想,300
真实,298
男人,298
好听,282
前方,277
前,272
真的,272
高能,266
卧槽,250
真,249
回来,248
桜,247
爷青回,245
说,245
awsl,219
表情,214
樱,204
哥哥,204
黄中,204
喜欢,201
柳,194
可楼,191
包,187
哲学,178
亿遍,176
玩,174
哭,173
嘤,170
这是,167
233333,162
疯,162
男,156
魔鬼,152
感觉,145
23333,141
恍恍惚惚,141
嗝,136
队友,135
好像,133
2333333,129
直播,128
2333,128
怪物,128
游戏,128
红红火火,126
小时,126
逮虾,125
户,122
噗,121
弹幕,119
李逵,116
兄弟,116
逼,115
自闭,114
憨,107
♂,107
好好,99
后期,98
分钟,97
牛,96
笑声,96
吃,95
天,95
蝙蝠,93
承包,91
我要,91
结局,91
舔,91
再来,91
小哥,90
完,86
鸭,84
跑,83
泪目,81
心疼,80
嗓子,79
鬼,78
标准,78
厉害,77
菜,77
妈,75
活着,75
吹,74
视频,73
掉,73
感谢,73
