word,count
 ,320
草,92
哈哈哈,63
啊啊啊,51
哈哈哈哈,36
欧拉,36
上帝,28
10,28
桌子,26
hp,26
可爱,24
16,23
45,22
DNA,19
笑,19
说,18
扭,18
修女,17
动,17
事,17
¿,17
爱,16
亵渎,16
雷击,14
电,13
耶,13
送,13
叶,13
原谅,13
卧槽,12
死,12
太,12
取关,12
真的,11
哥,11
D,11
开幕,11
离谱,10
好家伙,10
鲨,10
凤凰,10
战士,10
见上帝,10
进到,10
经典,9
喜欢,9
猫猫,9
喵,9
awsl,9
小队,9
妹妹,9
doge,8
jpg,8
强,8
不适,8
皮肤,8
发生,8
鸽,8
悲,7
幽灵,7
不亏,7
我酸,7
钢板,7
誓约,7
婚,7
希望,7
刺激法,6
呼吸,6
建议,6
少前,6
声音,6
舒适,6
抓,6
惨,6
屑,6
教科书,6
名,6
理解,6
真,6
酸,6
点,6
技能,6
指,5
子,5
懂,5
确信,5
士,5
流传,5
圣经,5
我要,5
叉,5
确实,5
妈,5
小子,5
剧情,5
刀,5
挺,5
请,5
草草,5
开,5
