word,count
哈哈哈,478
哈哈哈哈,221
 ,202
方式,104
草,63
直播,58
关注,57
笑,55
抱歉,51
死,41
耶,37
可爱,37
好家伙,28
彩排,28
小时,27
好惨,26
憨,25
好听,25
空气,22
太,21
太惨,21
心疼,20
泪目,20
鼠标,18
视频,16
遗憾,16
排练,16
惨,16
momo,16
可怜,15
两个,15
真的,14
仓鼠,13
爱,12
啊啊啊,12
粉,11
聪明,11
弹幕,11
生命,11
doge,10
不愧,10
挺,10
傻,10
开,10
眷顾,10
"
",10
单推,9
播,9
哼哼,9
说,8
初见,8
真,8
虚空,8
单挑,8
始,8
直,8
热乎,8
童工,8
感觉,7
姐姐,7
这是,7
现场,7
up,7
孩子,7
人类,7
人才,7
hhhhh,7
D,7
耳机,7
分钟,7
￣,6
导播,6
不错,6
有趣,6
厉害,6
加油,6
心酸,6
录播,6
舰长,6
离谱,6
时间,6
摸摸,6
介绍,6
恶臭,6
卡,6
请,6
推,5
摸摸头,5
聊,5
对不起,5
一遍,5
毕业,5
2333,5
hhhh,5
两,5
惨惨,5
播放,5
三连,5
点,5
敬业,5
