word,count
 ,943
哈哈哈,645
焰焰,290
可爱,270
哈哈哈哈,239
高能,173
awsl,147
初焰,118
啊啊啊,114
前方,111
吃,87
笑,85
死,84
狐狸,83
声音,79
太,78
想,73
弹幕,58
说,55
玩,55
听,54
♂,54
哭,52
走,46
游戏,46
真的,45
兽,44
感觉,44
爱,44
危,44
好听,43
加油,40
滑稽,39
请,38
辛苦,36
阿伟,35
真,35
跳,33
好像,33
现场,32
焰,32
抱,32
喜欢,31
赤琥,29
耳机,29
2333,28
23333,28
兔子,28
这是,27
中,27
毛,26
完,26
君,26
鸡,26
心疼,25
233,24
小时,24
点,23
听到,23
好评,23
做,23
还行,23
我会,23
手机,22
跑,22
揉,22
嗷,22
qwq,21
噗,21
开,21
恐怖,21
男,20
233333,20
魔鬼,20
普罗,20
秒,20
2333333,19
世界,19
警告,19
护体,19
doge,18
好好,18
唱,18
杀,18
里,18
up,18
枕,18
糟糕,18
吓死,18
引力,18
真实,17
党,17
新手,17
样子,17
两个,17
熊,17
音量,17
23333333,16
一只,16
鬼畜,16
