word,count
 ,432
好听,141
随便,131
草,109
啊啊啊,95
勺,86
太,81
爱,81
kksk,79
听,62
reol,62
牛,58
可爱,53
0.05,52
0.1,52
勺宝,48
太强,47
高音,45
哈哈哈,43
真的,39
唱,35
好好,34
声音,33
卧槽,32
呜呜,32
关注,32
想,32
跪,30
厉害,29
开口,28
骂,28
耶,26
宋体,26
封面,25
咬,25
起源,24
好像,23
说,23
死,22
亿遍,22
弹,22
强,21
一遍,21
nb,21
奶,20
好强,20
再来,20
汀,20
哈哈哈哈,20
好帅,20
吃,19
逼,19
做,19
唱唱,19
太牛,18
ab,18
感觉,17
AB,17
好家伙,17
喜欢,17
awsl,17
狂喜,17
doge,17
字幕,16
三连,16
真,15
帅,15
吸血鬼,15
双厨,14
好棒,13
tql,13
玩,13
鸡皮疙瘩,12
惊艳,12
嗷,12
好酷,12
太帅,12
樱,12
棒,11
原唱,11
版本,11
听到,11
味儿,11
诶,11
时间,11
定义,11
声线,10
震撼,10
宝藏,10
​,10
害怕,10
帅帅,10
宝勺,10
耳机,9
up,9
开头,9
哭,9
天,9
笑,9
君,9
