word,count
草,189
 ,174
哈哈哈,55
老师,49
冲冲,30
哈哈哈哈,29
awsl,28
吃,22
可爱,20
恶魔,16
耶,15
猫,15
好家伙,14
hso,14
爱,13
kksk,12
阿北,12
笑,11
进化,11
说,11
幼香,11
害怕,11
月,10
太,9
赡养,9
24,9
北,8
草草,8
做,8
好像,8
咩,8
懂,8
岁,8
233,7
声音,7
h,7
想,7
感觉,7
O,7
好大,7
日,7
羊,6
这是,6
 ,6
北北,6
谢谢,6
不愧,6
信号,6
斧,6
乒乓,6
确实,6
魔,5
2333,5
真,5
分钟,5
jpg,5
脸红,5
doge,5
听,5
骑士,5
女人,5
表情,5
阿鲁巴,5
双厨,5
角,4
啊啊啊,4
梗,4
点,4
退化,4
学生,4
还行,4
换成,4
奇怪,4
号,4
动,4
不亏,4
海豹,4
随机,4
字,4
开幕,4
雷击,4
狂喜,4
地狱,4
里,4
骂,4
yy,4
好怪,4
⊙,4
体面,4
喜欢,4
套娃,4
￣,4
北幼香,4
¿,4
真的,4
人类,4
ride,4
蜥蜴,4
666,4
66,4
