word,count
草,127
幽幽,83
哈哈哈,56
 ,48
吸吸,39
可爱,28
幽,25
好听,19
哈哈哈哈,17
喜欢,16
害怕,15
耶,9
好家伙,9
笑,8
幽宝,8
awsl,8
千幽,8
辛苦,8
kksk,7
死,7
保底,7
阴间,6
好好,6
太,5
麻,5
爱,5
幽灵,5
说,4
钱,4
草草,4
真的,4
嘶,4
诶,4
呜呜,4
开幕,4
尿,4
走出,3
尴尬,3
危,3
QQ,3
50,3
2333,3
阿柴,3
我滴,3
妈,3
bgm,3
棒,3
听,3
声音,3
阳间,3
鬼,3
不行,3
想,3
脑花,3
拉,2
桥姬,2
贴,2
恍如隔世,2
233,2
社死,2
周年,2
快乐,2
捏,2
挂,2
反客为主,2
钱包,2
这是,2
田野,2
借钱,2
红包,2
真实,2
毛到,2
惨,2
舰长,2
年功,2
序列,2
前辈,2
噔,2
生,2
开心,2
奇怪,2
非,2
斯,2
两个,2
吸,2
抽,2
欧,2
法老王,2
永远,2
BGM,2
o,2
接受,2
yyds,2
超,2
GG,2
リ,2
真,2
初见,2
╹,2
26,2
