word,count
草,1374
 ,1060
松鼠,730
awsl,671
可爱,481
hana,412
kksk,230
大木,221
尾巴,184
い,161
太,142
啊啊啊,131
哈哈哈,125
说,125
懂,108
hso,108
想,106
な,99
踩,98
骂,96
www,83
帮,81
吃,81
大忙,80
狐狸,78
哈斯,76
は,73
真,68
请,67
真的,67
别骂,67
prprprpr,66
￣,66
prprpr,65
欧拉,65
死,63
prprprprpr,63
し,63
飞飞,61
老板,60
爱,59
た,59
ん,57
っ,57
whl,56
w,54
噔,53
哈哈哈哈,52
感觉,52
か,52
喜欢,51
一只,51
心疼,48
あ,47
好大,46
prprprprprpr,45
开幕,44
帕里,44
木,44
穿模,43
suki,42
▽,42
斯,41
笑,41
惨,41
脖子,41
で,41
干杯,41
泪目,40
す,40
お,40
阿里,40
wwww,39
ま,39
て,39
れ,39
啾,38
う,38
买,38
空降,37
哭,37
る,37
に,37
求,37
起飞,37
这是,36
悲,36
nice,36
の,35
呐呐,35
耶,34
款待,34
胸鼠,33
舒服,33
雷击,32
谢谢,32
mua,32
芜湖,32
钱,31
DD,31
