word,count
草,2022
 ,727
哈哈哈,191
古守,190
守子哥,175
确实,104
哈哈哈哈,89
可爱,84
说,84
笑,66
www,65
太,61
吃,56
想,55
帕里,53
AA,52
爱,51
白菜,50
怪叫,49
肉,49
suki,49
耶,45
草草,45
喜欢,45
真,43
不愧,42
oto,40
砧板,40
真的,38
懂,38
古宝,37
anti,37
kksk,35
死,34
小森,34
好家伙,33
塔塔开,33
嗦,32
komori,31
手,30
吸血鬼,29
感觉,29
臭臭,29
日本,28
面,28
这是,27
ttk,27
cup,25
迫害,25
离谱,25
好像,25
o,24
做,24
女人,24
拉,24
30,24
挺,24
ん,24
泪目,23
老师,23
家,23
nano,23
完,23
肉肉,23
い,22
wwww,22
自由,22
2333,22
小姐,22
hso,22
F,21
大专,21
高,21
啊啊啊,20
经典,20
P,20
jpg,20
妹,19
真实,19
点,19
完全一致,19
谢谢,18
↓,18
wwwww,18
娘们,18
好看,18
ohhhhhhhhhh,18
套娃,18
大师,18
兄弟,17
O,17
ohhhhhhhh,17
不对劲,17
DD,17
妈妈,17
变,17
女儿,17
ww,17
ohhhhhhh,17
贴,17
