word,count
草,607
 ,323
哈哈哈,268
哈哈哈哈,96
字正腔圆,61
可爱,54
yami,51
说,44
教,33
www,31
谢谢,29
太,27
卧槽,25
耶,24
标准,24
死,24
笑,22
真实,21
厉害,20
ん,20
任天堂,19
桃子,18
现场,16
囍,16
好活,15
好家伙,15
喜欢,14
真的,14
噔,14
日本,14
nice,14
啊啊啊,13
boat,13
危,12
awsl,12
中文,12
wwww,12
做,12
玩,12
爱,12
广东,12
西,11
阿西,11
阿巴,11
妹妹,11
剪,11
中国,10
确实,10
23333,10
诶,10
doge,10
游戏,10
我来,10
ohhhhhhhhh,10
cup,10
不亏,10
⊙,10
咸鱼,9
试试,9
还行,9
nb,9
害怕,9
字,8
生气,8
hhh,8
一点,8
逼,8
想,8
い,8
剪辑,8
牛,8
感觉,8
2333,8
ohhhhhhh,8
ohhhhhhhhhh,8
不对劲,8
好运来,8
哥哥,8
跑,7
这是,7
听,7
suki,7
不好,7
pien,7
喵,7
ohhhhhh,7
ohhhhhhhh,7
存疑,7
杂鱼,7
wwwwww,7
没事,7
fake,7
结婚,7
正,6
腔,6
圆,6
贴,6
动,6
骂,6
同意,6
