word,count
草,2416
哈哈哈,1201
 ,931
哈哈哈哈,527
可爱,379
呜呜,291
www,239
笑,236
死,229
啊啊啊,211
猫猫,208
喜欢,196
叶,157
knkn,155
生日快乐,149
kksk,133
太,132
真的,122
hso,117
贴,115
女,115
wwww,101
叶叶,99
说,97
确实,93
る,89
愛,89
し,86
妈妈,80
诶,79
て,77
ww,76
救命,76
w,70
ぞ,70
好像,67
想,66
老婆,65
感觉,65
草草,61
wwwww,59
kwii,59
懂,58
suki,52
kwiii,50
聪明,50
kwiiii,49
温柔,48
谢谢,45
吃,44
感谢,44
叶哥,43
叶师,43
好帅,42
kwi,41
kwiiiii,40
小六,40
玩,38
热乎,38
kwiiiiii,38
不愧,37
天使,36
爱,35
wwwwww,35
听,34
高能,34
耶,33
声音,33
kwiiiiiii,33
屑,32
mono,32
你好,31
叶导,31
太帅,31
小孩,31
宝,30
麻烦,29
可怕,29
吓死,29
う,29
男,28
强,28
め,28
雷击,26
跳,26
哥,26
好强,26
​,26
老师,25
做,25
nice,25
厉害,25
跑,24
真,24
害怕,24
帅,24
骂,24
东西,24
分钟,23
女友,23
