word,count
可爱,79
草,70
 ,37
加油,26
www,20
w,14
哈哈哈,13
kksk,11
太,10
ww,10
哈哈哈哈,10
耶,9
前辈,9
学妹,9
骂,8
wwww,7
nattu,6
说,5
 ,5
圣杯,5
这是,5
真,5
屑,4
呜呜,4
wwwwww,4
越,4
你好,4
初见,4
单推,4
妈妈,4
擦,4
反驳,4
向日葵,4
๑,4
奇怪,3
爱,3
hso,3
能学,3
谢谢,3
诶,3
喜欢,3
す,3
awsl,3
wwwww,3
笑,3
汪,3
可怕,3
2333,3
害怕,3
确实,3
土,3
感觉,3
请,3
听,3
强,3
太短,3
↓,2
酱,2
抱歉,2
睡,2
分钟,2
天,2
wwwwwww,2
豆子,2
痴汉笑,2
老爷子,2
ﾟ,2
第一,2
中文,2
学,2
迷迭,2
榴莲,2
愚人节,2
舒服,2
跑,2
光明,2
未来,2
精神,2
OVO,2
完,2
开心,2
天才,2
細,2
ぎ,2
诗,2
死,2
汪汪,2
地球,2
日本,2
电脑,2
爸爸,2
刀,2
好家伙,2
好像,2
土味,2
情话,2
ち,2
还行,2
suki,2
傲娇,2
