word,count
晚晚,1297
好好,1165
 ,979
爹,970
可爱,715
卧槽,511
晚,510
捏,428
哈哈哈,387
拉,340
老婆,330
收到,319
爹爹,289
向晚,243
管家,224
不住,223
绷,218
笑,215
下雨,215
住,195
蚌埠,184
哈哈哈哈,182
死,174
小姐,167
太,150
好听,149
工具,144
走,128
寄,123
别吵,120
真的,118
呜呜,118
兄弟,112
嘉门,111
我超,108
啾,104
草,103
同事,103
这下,101
魔王,95
干,90
惹,89
不拉不看,88
滑滑蛋,85
mua,84
真,84
风情,82
喜欢,82
小拉,80
圣嘉然,79
铸币,78
0.05,78
0.1,78
赢,76
不算,75
经典,74
说,74
爱,74
天才,73
新年快乐,73
开心,73
帅,69
顶碗,68
逆天,68
完美,67
嘉,66
狗,65
温暖,64
想,63
懒羊羊,63
快乐,61
晚饭,61
溜,60
做,59
憨,59
弹幕,59
老师,59
理性,59
感性,58
钻头,57
碗,57
哭,57
含金量,56
然然,55
我爹,55
指导,54
很难,54
文本,53
飞,53
爹岛,53
乐,51
阿巴,51
啊啊啊,51
真不熟,51
起飞,50
黄豆,49
阿姨,48
口水,48
父亲节,48
土,46
