word,count
 ,2055
草草,1106
草,991
哈哈哈,809
狼哥,548
好听,545
耶,506
呜米,399
哈哈哈哈,375
崽,337
啊啊啊,328
SimHei,288
爱,264
狼,219
suki,201
奶死,194
呜呜,185
太,175
喜欢,174
回来,172
Microsoft,166
咩,155
哥哥,148
JhengHei,145
可爱,118
50,115
0.5,109
0.99,106
500,103
唱,101
说,97
听,96
走,94
100,92
离谱,90
危,89
声音,89
zzyyds,89
栗,84
真的,81
n,76
DNA,74
kksk,73
我悟,67
吃,65
400,63
600,63
米,62
周姐,62
羊,60
200,59
声线,58
好家伙,58
awsl,58
帅,57
算了算,55
笑,53
死,52
好帅,52
夸夸,52
经典,49
0.8,48
好好,47
披,47
懂,47
真,46
动,46
說,46
想,44
↓,44
求生欲,44
百草园,43
羊皮,43
贴,43
菩萨,42
害怕,40
大师,40
阿巴,39
现场,38
炸,38
doge,37
游戏,37
300,37
150,37
三连,36
0.4,36
仅供参考,35
岁,35
狂喜,34
图片,33
亿遍,33
太帅,32
狗,32
这是,31
关注,31
流传,31
好像,31
唱歌,31
0.3,31
再来,31
