word,count
 ,989
咪诺,690
⏝,264
⎛,261
⎝,261
mino,223
说,222
手机,195
想,143
可爱,133
玩,133
捏,133
≥,132
≤,132
狗头,105
喜欢,98
吃,98
游戏,97
晚上,93
坏,90
晚安,89
呜呜,82
诺,80
擦,78
草,75
咪,74
窝,73
听,72
点,68
电池,68
确实,65
懂,63
爱,60
寄,60
走,59
￣,58
直播间,58
耶,56
死,53
真,53
好家伙,51
诺诺,51
好好,51
太,50
绷,48
不好,46
女人,46
没事,44
感觉,44
直播,44
挺,43
完,43
唱,41
关注,40
大气,38
抱,38
不想,37
睡,37
做,37
好像,37
好听,37
一点,37
溜,36
东西,36
･,36
老板,36
诺基亚,36
找,35
笑,35
不行,35
卧槽,35
里,34
真的,34
哈哈哈,34
睡觉,34
声音,34
初见,33
妈妈,33
凝凝,33
开,33
单推,32
月,32
QAQ,32
∀,32
明天,31
∠,31
老婆,30
评价,30
黑,29
两个,29
你好,29
先,28
只能,28
回,28
抽,28
高,28
换,28
不用,28
紧张,28
刚刚,27
