word,count
 ,743
草,566
awsl,118
哈哈哈,114
miya,108
hso,85
哈哈哈哈,66
猫,63
吃,55
可爱,53
笑,51
猫猫,47
喵,47
害怕,44
好帅,36
懂,33
开幕,32
雷击,32
高,32
kksk,28
声音,28
说,28
伤害,26
好家伙,24
whl,23
真实,23
开心,23
啊啊啊,22
危,22
锤子,22
太,20
死,20
感觉,20
想,20
真,20
噔,20
真的,19
现场,19
方式,19
确实,18
做,17
草草,17
前方,16
echo,16
抱歉,16
不愧,16
耶,15
DD,15
玩,15
━,15
doge,14
┃,14
菜,14
色,14
画,14
jpg,13
涩,13
惨,13
这是,13
BGM,12
高能,12
里,12
bgm,12
指,12
耳膜,12
下次,12
完,11
好看,11
桃子,11
出轨,11
放,11
对面,11
很涩,11
鱼,11
笑声,10
点,10
还行,10
听,10
dd,10
爱,10
眼睛,10
h,10
手机,10
我家,10
ಠ,10
香香,10
巾,10
猫叫,9
开头,9
好像,9
hhhhh,9
厉害,9
老婆,9
YK,9
鬼,9
 ,9
公主,9
卧槽,8
看着,8
傻,8
