word,count
 ,163
哈哈哈,105
哈哈哈哈,57
草,35
小哈,27
好听,25
憨,22
笑,22
跳,18
可爱,15
死,14
正片,14
梅开,13
团小哈,13
哈酱,12
草草,11
真,11
帅哥,10
太,9
耶,9
w,8
呜呜,7
小度,7
天空,7
蔚蓝色,7
千纸鹤,7
说,7
 ,7
猪猪,6
哈总,6
度,6
想,6
做,6
里,6
好家伙,6
听,6
no,6
开头,5
小时,5
吃,5
窗外,5
下次,5
好像,5
好好,5
柜子,5
屁股,5
doge,5
爱,5
sei,5
拔,4
电源,4
三度,4
猫猫,4
梅开二度,4
走,4
小哈好,4
完,4
高冷,4
泪目,4
孩子,4
歌,3
哭,3
热热,3
听到,3
谢谢,3
现场,3
噗,3
表情,3
视频,3
我家,3
标题,3
小哈是,3
智慧,3
区,3
脑子,3
开心,3
离谱,3
第一,3
水,3
弹幕,3
2333,3
美女,3
热乎,3
冷,3
耳朵,3
出水,3
真的,3
憨型,3
混入,3
woc,3
画,3
疯,3
xswl,3
阴间,3
嗷,3
刚刚,3
塞,3
哈宝,2
越来越,2
14,2
